format	wellname	row	rownum	col	totcolcount	byrow	bycol	quad	parentwell
1536	Q21	Q	17	21	48	789	657	1	169
1536	S21	S	19	21	48	885	659	1	170
1536	U21	U	21	21	48	981	661	1	171
1536	W21	W	23	21	48	1077	663	1	172
1536	Y21	Y	25	21	48	1173	665	1	173
1536	AA21	AA	27	21	48	1269	667	1	174
1536	AC21	AC	29	21	48	1365	669	1	175
1536	AE21	AE	31	21	48	1461	671	1	176
1536	A23	A	1	23	48	23	705	1	177
1536	C23	C	3	23	48	119	707	1	178
1536	E23	E	5	23	48	215	709	1	179
1536	G23	G	7	23	48	311	711	1	180
1536	I23	I	9	23	48	407	713	1	181
1536	K23	K	11	23	48	503	715	1	182
1536	M23	M	13	23	48	599	717	1	183
1536	O23	O	15	23	48	695	719	1	184
1536	Q23	Q	17	23	48	791	721	1	185
1536	S23	S	19	23	48	887	723	1	186
1536	U23	U	21	23	48	983	725	1	187
1536	W23	W	23	23	48	1079	727	1	188
1536	Y23	Y	25	23	48	1175	729	1	189
1536	AA23	AA	27	23	48	1271	731	1	190
1536	AC23	AC	29	23	48	1367	733	1	191
1536	AE23	AE	31	23	48	1463	735	1	192
1536	A25	A	1	25	48	25	769	1	193
1536	C25	C	3	25	48	121	771	1	194
1536	E25	E	5	25	48	217	773	1	195
1536	G25	G	7	25	48	313	775	1	196
1536	I25	I	9	25	48	409	777	1	197
1536	K25	K	11	25	48	505	779	1	198
1536	M25	M	13	25	48	601	781	1	199
1536	O25	O	15	25	48	697	783	1	200
1536	Q25	Q	17	25	48	793	785	1	201
1536	S25	S	19	25	48	889	787	1	202
1536	U25	U	21	25	48	985	789	1	203
1536	W25	W	23	25	48	1081	791	1	204
1536	Y25	Y	25	25	48	1177	793	1	205
1536	AA25	AA	27	25	48	1273	795	1	206
1536	AC25	AC	29	25	48	1369	797	1	207
1536	AE25	AE	31	25	48	1465	799	1	208
1536	A27	A	1	27	48	27	833	1	209
1536	C27	C	3	27	48	123	835	1	210
1536	E27	E	5	27	48	219	837	1	211
1536	G27	G	7	27	48	315	839	1	212
1536	I27	I	9	27	48	411	841	1	213
1536	K27	K	11	27	48	507	843	1	214
1536	M27	M	13	27	48	603	845	1	215
1536	O27	O	15	27	48	699	847	1	216
1536	Q27	Q	17	27	48	795	849	1	217
1536	S27	S	19	27	48	891	851	1	218
1536	U27	U	21	27	48	987	853	1	219
1536	W27	W	23	27	48	1083	855	1	220
1536	Y27	Y	25	27	48	1179	857	1	221
1536	AA27	AA	27	27	48	1275	859	1	222
1536	AC27	AC	29	27	48	1371	861	1	223
1536	AE27	AE	31	27	48	1467	863	1	224
1536	A29	A	1	29	48	29	897	1	225
1536	C29	C	3	29	48	125	899	1	226
1536	E29	E	5	29	48	221	901	1	227
1536	G29	G	7	29	48	317	903	1	228
1536	I29	I	9	29	48	413	905	1	229
1536	K29	K	11	29	48	509	907	1	230
1536	M29	M	13	29	48	605	909	1	231
1536	O29	O	15	29	48	701	911	1	232
1536	Q29	Q	17	29	48	797	913	1	233
1536	S29	S	19	29	48	893	915	1	234
1536	U29	U	21	29	48	989	917	1	235
1536	W29	W	23	29	48	1085	919	1	236
1536	Y29	Y	25	29	48	1181	921	1	237
1536	AA29	AA	27	29	48	1277	923	1	238
1536	AC29	AC	29	29	48	1373	925	1	239
1536	AE29	AE	31	29	48	1469	927	1	240
1536	A31	A	1	31	48	31	961	1	241
1536	C31	C	3	31	48	127	963	1	242
1536	E31	E	5	31	48	223	965	1	243
1536	G31	G	7	31	48	319	967	1	244
1536	I31	I	9	31	48	415	969	1	245
1536	K31	K	11	31	48	511	971	1	246
1536	M31	M	13	31	48	607	973	1	247
1536	O31	O	15	31	48	703	975	1	248
1536	Q31	Q	17	31	48	799	977	1	249
1536	S31	S	19	31	48	895	979	1	250
1536	U31	U	21	31	48	991	981	1	251
1536	W31	W	23	31	48	1087	983	1	252
1536	Y31	Y	25	31	48	1183	985	1	253
1536	AA31	AA	27	31	48	1279	987	1	254
1536	AC31	AC	29	31	48	1375	989	1	255
1536	AE31	AE	31	31	48	1471	991	1	256
1536	A33	A	1	33	48	33	1025	1	257
1536	C33	C	3	33	48	129	1027	1	258
1536	E33	E	5	33	48	225	1029	1	259
1536	G33	G	7	33	48	321	1031	1	260
1536	I33	I	9	33	48	417	1033	1	261
1536	K33	K	11	33	48	513	1035	1	262
1536	M33	M	13	33	48	609	1037	1	263
1536	O33	O	15	33	48	705	1039	1	264
1536	Q33	Q	17	33	48	801	1041	1	265
1536	S33	S	19	33	48	897	1043	1	266
1536	U33	U	21	33	48	993	1045	1	267
1536	W33	W	23	33	48	1089	1047	1	268
1536	Y33	Y	25	33	48	1185	1049	1	269
1536	AA33	AA	27	33	48	1281	1051	1	270
1536	AC33	AC	29	33	48	1377	1053	1	271
1536	AE33	AE	31	33	48	1473	1055	1	272
1536	A35	A	1	35	48	35	1089	1	273
1536	C35	C	3	35	48	131	1091	1	274
1536	E35	E	5	35	48	227	1093	1	275
1536	G35	G	7	35	48	323	1095	1	276
1536	I35	I	9	35	48	419	1097	1	277
1536	K35	K	11	35	48	515	1099	1	278
1536	M35	M	13	35	48	611	1101	1	279
1536	O35	O	15	35	48	707	1103	1	280
1536	Q35	Q	17	35	48	803	1105	1	281
1536	S35	S	19	35	48	899	1107	1	282
1536	U35	U	21	35	48	995	1109	1	283
1536	W35	W	23	35	48	1091	1111	1	284
1536	Y35	Y	25	35	48	1187	1113	1	285
1536	AA35	AA	27	35	48	1283	1115	1	286
1536	AC35	AC	29	35	48	1379	1117	1	287
1536	AE35	AE	31	35	48	1475	1119	1	288
1536	A37	A	1	37	48	37	1153	1	289
1536	C37	C	3	37	48	133	1155	1	290
1536	E37	E	5	37	48	229	1157	1	291
1536	G37	G	7	37	48	325	1159	1	292
1536	I37	I	9	37	48	421	1161	1	293
1536	K37	K	11	37	48	517	1163	1	294
1536	M37	M	13	37	48	613	1165	1	295
1536	O37	O	15	37	48	709	1167	1	296
1536	Q37	Q	17	37	48	805	1169	1	297
1536	S37	S	19	37	48	901	1171	1	298
1536	U37	U	21	37	48	997	1173	1	299
1536	W37	W	23	37	48	1093	1175	1	300
1536	Y37	Y	25	37	48	1189	1177	1	301
1536	AA37	AA	27	37	48	1285	1179	1	302
1536	AC37	AC	29	37	48	1381	1181	1	303
1536	AE37	AE	31	37	48	1477	1183	1	304
1536	A39	A	1	39	48	39	1217	1	305
1536	C39	C	3	39	48	135	1219	1	306
1536	E39	E	5	39	48	231	1221	1	307
1536	G39	G	7	39	48	327	1223	1	308
1536	I39	I	9	39	48	423	1225	1	309
1536	K39	K	11	39	48	519	1227	1	310
1536	M39	M	13	39	48	615	1229	1	311
1536	O39	O	15	39	48	711	1231	1	312
1536	Q39	Q	17	39	48	807	1233	1	313
1536	S39	S	19	39	48	903	1235	1	314
1536	U39	U	21	39	48	999	1237	1	315
1536	W39	W	23	39	48	1095	1239	1	316
1536	Y39	Y	25	39	48	1191	1241	1	317
1536	AA39	AA	27	39	48	1287	1243	1	318
1536	AC39	AC	29	39	48	1383	1245	1	319
1536	AE39	AE	31	39	48	1479	1247	1	320
1536	A41	A	1	41	48	41	1281	1	321
1536	C41	C	3	41	48	137	1283	1	322
1536	E41	E	5	41	48	233	1285	1	323
1536	G41	G	7	41	48	329	1287	1	324
1536	I41	I	9	41	48	425	1289	1	325
1536	K41	K	11	41	48	521	1291	1	326
1536	M41	M	13	41	48	617	1293	1	327
1536	O41	O	15	41	48	713	1295	1	328
1536	Q41	Q	17	41	48	809	1297	1	329
1536	S41	S	19	41	48	905	1299	1	330
1536	U41	U	21	41	48	1001	1301	1	331
1536	W41	W	23	41	48	1097	1303	1	332
1536	Y41	Y	25	41	48	1193	1305	1	333
1536	AA41	AA	27	41	48	1289	1307	1	334
1536	AC41	AC	29	41	48	1385	1309	1	335
1536	AE41	AE	31	41	48	1481	1311	1	336
1536	A43	A	1	43	48	43	1345	1	337
1536	C43	C	3	43	48	139	1347	1	338
1536	E43	E	5	43	48	235	1349	1	339
1536	G43	G	7	43	48	331	1351	1	340
1536	I43	I	9	43	48	427	1353	1	341
1536	K43	K	11	43	48	523	1355	1	342
1536	M43	M	13	43	48	619	1357	1	343
1536	O43	O	15	43	48	715	1359	1	344
1536	Q43	Q	17	43	48	811	1361	1	345
1536	S43	S	19	43	48	907	1363	1	346
1536	U43	U	21	43	48	1003	1365	1	347
1536	W43	W	23	43	48	1099	1367	1	348
1536	Y43	Y	25	43	48	1195	1369	1	349
1536	AA43	AA	27	43	48	1291	1371	1	350
1536	AC43	AC	29	43	48	1387	1373	1	351
1536	AE43	AE	31	43	48	1483	1375	1	352
1536	A45	A	1	45	48	45	1409	1	353
1536	C45	C	3	45	48	141	1411	1	354
1536	E45	E	5	45	48	237	1413	1	355
1536	G45	G	7	45	48	333	1415	1	356
1536	I45	I	9	45	48	429	1417	1	357
1536	K45	K	11	45	48	525	1419	1	358
1536	M45	M	13	45	48	621	1421	1	359
1536	O45	O	15	45	48	717	1423	1	360
1536	Q45	Q	17	45	48	813	1425	1	361
1536	S45	S	19	45	48	909	1427	1	362
1536	U45	U	21	45	48	1005	1429	1	363
1536	W45	W	23	45	48	1101	1431	1	364
1536	Y45	Y	25	45	48	1197	1433	1	365
1536	AA45	AA	27	45	48	1293	1435	1	366
1536	AC45	AC	29	45	48	1389	1437	1	367
1536	AE45	AE	31	45	48	1485	1439	1	368
1536	A47	A	1	47	48	47	1473	1	369
1536	C47	C	3	47	48	143	1475	1	370
1536	E47	E	5	47	48	239	1477	1	371
1536	G47	G	7	47	48	335	1479	1	372
1536	I47	I	9	47	48	431	1481	1	373
1536	K47	K	11	47	48	527	1483	1	374
1536	M47	M	13	47	48	623	1485	1	375
1536	O47	O	15	47	48	719	1487	1	376
1536	Q47	Q	17	47	48	815	1489	1	377
1536	S47	S	19	47	48	911	1491	1	378
1536	U47	U	21	47	48	1007	1493	1	379
1536	W47	W	23	47	48	1103	1495	1	380
1536	Y47	Y	25	47	48	1199	1497	1	381
1536	AA47	AA	27	47	48	1295	1499	1	382
1536	AC47	AC	29	47	48	1391	1501	1	383
1536	AE47	AE	31	47	48	1487	1503	1	384
1536	A02	A	1	2	48	2	33	2	1
1536	C02	C	3	2	48	98	35	2	2
1536	E02	E	5	2	48	194	37	2	3
1536	G02	G	7	2	48	290	39	2	4
1536	I02	I	9	2	48	386	41	2	5
1536	K02	K	11	2	48	482	43	2	6
1536	M02	M	13	2	48	578	45	2	7
1536	O02	O	15	2	48	674	47	2	8
1536	Q02	Q	17	2	48	770	49	2	9
1536	S02	S	19	2	48	866	51	2	10
1536	U02	U	21	2	48	962	53	2	11
1536	W02	W	23	2	48	1058	55	2	12
1536	Y02	Y	25	2	48	1154	57	2	13
1536	AA02	AA	27	2	48	1250	59	2	14
1536	AC02	AC	29	2	48	1346	61	2	15
1536	AE02	AE	31	2	48	1442	63	2	16
1536	A04	A	1	4	48	4	97	2	17
1536	C04	C	3	4	48	100	99	2	18
1536	E04	E	5	4	48	196	101	2	19
1536	G04	G	7	4	48	292	103	2	20
1536	I04	I	9	4	48	388	105	2	21
1536	K04	K	11	4	48	484	107	2	22
1536	M04	M	13	4	48	580	109	2	23
1536	O04	O	15	4	48	676	111	2	24
1536	Q04	Q	17	4	48	772	113	2	25
1536	S04	S	19	4	48	868	115	2	26
1536	U04	U	21	4	48	964	117	2	27
1536	W04	W	23	4	48	1060	119	2	28
1536	Y04	Y	25	4	48	1156	121	2	29
1536	AA04	AA	27	4	48	1252	123	2	30
1536	AC04	AC	29	4	48	1348	125	2	31
1536	AE04	AE	31	4	48	1444	127	2	32
1536	A06	A	1	6	48	6	161	2	33
1536	C06	C	3	6	48	102	163	2	34
1536	E06	E	5	6	48	198	165	2	35
1536	G06	G	7	6	48	294	167	2	36
1536	I06	I	9	6	48	390	169	2	37
1536	K06	K	11	6	48	486	171	2	38
1536	M06	M	13	6	48	582	173	2	39
1536	O06	O	15	6	48	678	175	2	40
1536	Q06	Q	17	6	48	774	177	2	41
1536	S06	S	19	6	48	870	179	2	42
1536	U06	U	21	6	48	966	181	2	43
1536	W06	W	23	6	48	1062	183	2	44
1536	Y06	Y	25	6	48	1158	185	2	45
1536	AA06	AA	27	6	48	1254	187	2	46
1536	AC06	AC	29	6	48	1350	189	2	47
1536	AE06	AE	31	6	48	1446	191	2	48
1536	A08	A	1	8	48	8	225	2	49
1536	C08	C	3	8	48	104	227	2	50
1536	E08	E	5	8	48	200	229	2	51
1536	G08	G	7	8	48	296	231	2	52
1536	I08	I	9	8	48	392	233	2	53
1536	K08	K	11	8	48	488	235	2	54
1536	M08	M	13	8	48	584	237	2	55
1536	O08	O	15	8	48	680	239	2	56
1536	Q08	Q	17	8	48	776	241	2	57
1536	S08	S	19	8	48	872	243	2	58
1536	U08	U	21	8	48	968	245	2	59
1536	W08	W	23	8	48	1064	247	2	60
1536	Y08	Y	25	8	48	1160	249	2	61
1536	AA08	AA	27	8	48	1256	251	2	62
1536	AC08	AC	29	8	48	1352	253	2	63
1536	AE08	AE	31	8	48	1448	255	2	64
1536	A10	A	1	10	48	10	289	2	65
1536	C10	C	3	10	48	106	291	2	66
1536	E10	E	5	10	48	202	293	2	67
1536	G10	G	7	10	48	298	295	2	68
1536	I10	I	9	10	48	394	297	2	69
1536	K10	K	11	10	48	490	299	2	70
1536	M10	M	13	10	48	586	301	2	71
1536	O10	O	15	10	48	682	303	2	72
1536	Q10	Q	17	10	48	778	305	2	73
1536	S10	S	19	10	48	874	307	2	74
1536	U10	U	21	10	48	970	309	2	75
1536	W10	W	23	10	48	1066	311	2	76
1536	Y10	Y	25	10	48	1162	313	2	77
1536	AA10	AA	27	10	48	1258	315	2	78
1536	AC10	AC	29	10	48	1354	317	2	79
1536	AE10	AE	31	10	48	1450	319	2	80
1536	A12	A	1	12	48	12	353	2	81
1536	C12	C	3	12	48	108	355	2	82
1536	E12	E	5	12	48	204	357	2	83
1536	G12	G	7	12	48	300	359	2	84
1536	I12	I	9	12	48	396	361	2	85
1536	K12	K	11	12	48	492	363	2	86
1536	M12	M	13	12	48	588	365	2	87
1536	O12	O	15	12	48	684	367	2	88
1536	Q12	Q	17	12	48	780	369	2	89
1536	S12	S	19	12	48	876	371	2	90
1536	U12	U	21	12	48	972	373	2	91
1536	W12	W	23	12	48	1068	375	2	92
1536	Y12	Y	25	12	48	1164	377	2	93
1536	AA12	AA	27	12	48	1260	379	2	94
1536	AC12	AC	29	12	48	1356	381	2	95
1536	AE12	AE	31	12	48	1452	383	2	96
1536	A14	A	1	14	48	14	417	2	97
1536	C14	C	3	14	48	110	419	2	98
1536	E14	E	5	14	48	206	421	2	99
1536	G14	G	7	14	48	302	423	2	100
1536	I14	I	9	14	48	398	425	2	101
1536	K14	K	11	14	48	494	427	2	102
1536	M14	M	13	14	48	590	429	2	103
1536	O14	O	15	14	48	686	431	2	104
1536	Q14	Q	17	14	48	782	433	2	105
1536	S14	S	19	14	48	878	435	2	106
1536	U14	U	21	14	48	974	437	2	107
1536	W14	W	23	14	48	1070	439	2	108
1536	Y14	Y	25	14	48	1166	441	2	109
1536	AA14	AA	27	14	48	1262	443	2	110
1536	AC14	AC	29	14	48	1358	445	2	111
1536	AE14	AE	31	14	48	1454	447	2	112
1536	A16	A	1	16	48	16	481	2	113
1536	C16	C	3	16	48	112	483	2	114
1536	E16	E	5	16	48	208	485	2	115
1536	G16	G	7	16	48	304	487	2	116
1536	I16	I	9	16	48	400	489	2	117
1536	K16	K	11	16	48	496	491	2	118
1536	M16	M	13	16	48	592	493	2	119
1536	O16	O	15	16	48	688	495	2	120
1536	Q16	Q	17	16	48	784	497	2	121
1536	S16	S	19	16	48	880	499	2	122
1536	U16	U	21	16	48	976	501	2	123
1536	W16	W	23	16	48	1072	503	2	124
1536	Y16	Y	25	16	48	1168	505	2	125
1536	AA16	AA	27	16	48	1264	507	2	126
1536	AC16	AC	29	16	48	1360	509	2	127
1536	AE16	AE	31	16	48	1456	511	2	128
1536	A18	A	1	18	48	18	545	2	129
1536	C18	C	3	18	48	114	547	2	130
1536	E18	E	5	18	48	210	549	2	131
1536	G18	G	7	18	48	306	551	2	132
1536	I18	I	9	18	48	402	553	2	133
1536	K18	K	11	18	48	498	555	2	134
1536	M18	M	13	18	48	594	557	2	135
1536	O18	O	15	18	48	690	559	2	136
1536	Q18	Q	17	18	48	786	561	2	137
1536	S18	S	19	18	48	882	563	2	138
1536	U18	U	21	18	48	978	565	2	139
1536	W18	W	23	18	48	1074	567	2	140
1536	Y18	Y	25	18	48	1170	569	2	141
1536	AA18	AA	27	18	48	1266	571	2	142
1536	AC18	AC	29	18	48	1362	573	2	143
1536	AE18	AE	31	18	48	1458	575	2	144
1536	A20	A	1	20	48	20	609	2	145
1536	C20	C	3	20	48	116	611	2	146
1536	E20	E	5	20	48	212	613	2	147
1536	G20	G	7	20	48	308	615	2	148
1536	I20	I	9	20	48	404	617	2	149
1536	K20	K	11	20	48	500	619	2	150
1536	M20	M	13	20	48	596	621	2	151
1536	O20	O	15	20	48	692	623	2	152
1536	Q20	Q	17	20	48	788	625	2	153
1536	S20	S	19	20	48	884	627	2	154
1536	U20	U	21	20	48	980	629	2	155
1536	W20	W	23	20	48	1076	631	2	156
1536	Y20	Y	25	20	48	1172	633	2	157
1536	AA20	AA	27	20	48	1268	635	2	158
1536	AC20	AC	29	20	48	1364	637	2	159
1536	AE20	AE	31	20	48	1460	639	2	160
1536	A22	A	1	22	48	22	673	2	161
1536	C22	C	3	22	48	118	675	2	162
1536	E22	E	5	22	48	214	677	2	163
1536	G22	G	7	22	48	310	679	2	164
1536	I22	I	9	22	48	406	681	2	165
1536	K22	K	11	22	48	502	683	2	166
1536	M22	M	13	22	48	598	685	2	167
1536	O22	O	15	22	48	694	687	2	168
1536	Q22	Q	17	22	48	790	689	2	169
1536	S22	S	19	22	48	886	691	2	170
1536	U22	U	21	22	48	982	693	2	171
1536	W22	W	23	22	48	1078	695	2	172
1536	Y22	Y	25	22	48	1174	697	2	173
1536	AA22	AA	27	22	48	1270	699	2	174
1536	AC22	AC	29	22	48	1366	701	2	175
1536	AE22	AE	31	22	48	1462	703	2	176
1536	A24	A	1	24	48	24	737	2	177
1536	C24	C	3	24	48	120	739	2	178
1536	E24	E	5	24	48	216	741	2	179
1536	G24	G	7	24	48	312	743	2	180
1536	I24	I	9	24	48	408	745	2	181
1536	K24	K	11	24	48	504	747	2	182
1536	M24	M	13	24	48	600	749	2	183
1536	O24	O	15	24	48	696	751	2	184
1536	Q24	Q	17	24	48	792	753	2	185
1536	S24	S	19	24	48	888	755	2	186
1536	U24	U	21	24	48	984	757	2	187
1536	W24	W	23	24	48	1080	759	2	188
1536	Y24	Y	25	24	48	1176	761	2	189
1536	AA24	AA	27	24	48	1272	763	2	190
1536	AC24	AC	29	24	48	1368	765	2	191
1536	AE24	AE	31	24	48	1464	767	2	192
1536	A26	A	1	26	48	26	801	2	193
1536	C26	C	3	26	48	122	803	2	194
1536	E26	E	5	26	48	218	805	2	195
1536	G26	G	7	26	48	314	807	2	196
1536	I26	I	9	26	48	410	809	2	197
1536	K26	K	11	26	48	506	811	2	198
1536	M26	M	13	26	48	602	813	2	199
1536	O26	O	15	26	48	698	815	2	200
1536	Q26	Q	17	26	48	794	817	2	201
1536	S26	S	19	26	48	890	819	2	202
1536	U26	U	21	26	48	986	821	2	203
1536	W26	W	23	26	48	1082	823	2	204
1536	Y26	Y	25	26	48	1178	825	2	205
1536	AA26	AA	27	26	48	1274	827	2	206
1536	AC26	AC	29	26	48	1370	829	2	207
1536	AE26	AE	31	26	48	1466	831	2	208
1536	A28	A	1	28	48	28	865	2	209
1536	C28	C	3	28	48	124	867	2	210
1536	E28	E	5	28	48	220	869	2	211
1536	G28	G	7	28	48	316	871	2	212
1536	I28	I	9	28	48	412	873	2	213
1536	K28	K	11	28	48	508	875	2	214
1536	M28	M	13	28	48	604	877	2	215
1536	O28	O	15	28	48	700	879	2	216
1536	Q28	Q	17	28	48	796	881	2	217
1536	S28	S	19	28	48	892	883	2	218
1536	U28	U	21	28	48	988	885	2	219
1536	W28	W	23	28	48	1084	887	2	220
1536	Y28	Y	25	28	48	1180	889	2	221
1536	AA28	AA	27	28	48	1276	891	2	222
1536	AC28	AC	29	28	48	1372	893	2	223
1536	AE28	AE	31	28	48	1468	895	2	224
1536	A30	A	1	30	48	30	929	2	225
1536	C30	C	3	30	48	126	931	2	226
1536	E30	E	5	30	48	222	933	2	227
1536	G30	G	7	30	48	318	935	2	228
1536	I30	I	9	30	48	414	937	2	229
1536	K30	K	11	30	48	510	939	2	230
1536	M30	M	13	30	48	606	941	2	231
1536	O30	O	15	30	48	702	943	2	232
1536	Q30	Q	17	30	48	798	945	2	233
1536	S30	S	19	30	48	894	947	2	234
1536	U30	U	21	30	48	990	949	2	235
1536	W30	W	23	30	48	1086	951	2	236
1536	Y30	Y	25	30	48	1182	953	2	237
1536	AA30	AA	27	30	48	1278	955	2	238
1536	AC30	AC	29	30	48	1374	957	2	239
1536	AE30	AE	31	30	48	1470	959	2	240
1536	A32	A	1	32	48	32	993	2	241
1536	C32	C	3	32	48	128	995	2	242
1536	E32	E	5	32	48	224	997	2	243
1536	G32	G	7	32	48	320	999	2	244
1536	I32	I	9	32	48	416	1001	2	245
1536	K32	K	11	32	48	512	1003	2	246
1536	M32	M	13	32	48	608	1005	2	247
1536	O32	O	15	32	48	704	1007	2	248
1536	Q32	Q	17	32	48	800	1009	2	249
1536	S32	S	19	32	48	896	1011	2	250
1536	U32	U	21	32	48	992	1013	2	251
1536	W32	W	23	32	48	1088	1015	2	252
1536	Y32	Y	25	32	48	1184	1017	2	253
1536	AA32	AA	27	32	48	1280	1019	2	254
1536	AC32	AC	29	32	48	1376	1021	2	255
1536	AE32	AE	31	32	48	1472	1023	2	256
1536	A34	A	1	34	48	34	1057	2	257
1536	C34	C	3	34	48	130	1059	2	258
1536	E34	E	5	34	48	226	1061	2	259
1536	G34	G	7	34	48	322	1063	2	260
1536	I34	I	9	34	48	418	1065	2	261
1536	K34	K	11	34	48	514	1067	2	262
1536	M34	M	13	34	48	610	1069	2	263
1536	O34	O	15	34	48	706	1071	2	264
1536	Q34	Q	17	34	48	802	1073	2	265
1536	S34	S	19	34	48	898	1075	2	266
1536	U34	U	21	34	48	994	1077	2	267
1536	W34	W	23	34	48	1090	1079	2	268
1536	Y34	Y	25	34	48	1186	1081	2	269
1536	AA34	AA	27	34	48	1282	1083	2	270
1536	AC34	AC	29	34	48	1378	1085	2	271
1536	AE34	AE	31	34	48	1474	1087	2	272
1536	A36	A	1	36	48	36	1121	2	273
1536	C36	C	3	36	48	132	1123	2	274
1536	E36	E	5	36	48	228	1125	2	275
1536	G36	G	7	36	48	324	1127	2	276
1536	I36	I	9	36	48	420	1129	2	277
1536	K36	K	11	36	48	516	1131	2	278
1536	M36	M	13	36	48	612	1133	2	279
1536	O36	O	15	36	48	708	1135	2	280
1536	Q36	Q	17	36	48	804	1137	2	281
1536	S36	S	19	36	48	900	1139	2	282
1536	U36	U	21	36	48	996	1141	2	283
1536	W36	W	23	36	48	1092	1143	2	284
1536	Y36	Y	25	36	48	1188	1145	2	285
1536	AA36	AA	27	36	48	1284	1147	2	286
1536	AC36	AC	29	36	48	1380	1149	2	287
1536	AE36	AE	31	36	48	1476	1151	2	288
1536	A38	A	1	38	48	38	1185	2	289
1536	C38	C	3	38	48	134	1187	2	290
1536	E38	E	5	38	48	230	1189	2	291
1536	G38	G	7	38	48	326	1191	2	292
1536	I38	I	9	38	48	422	1193	2	293
1536	K38	K	11	38	48	518	1195	2	294
1536	M38	M	13	38	48	614	1197	2	295
1536	O38	O	15	38	48	710	1199	2	296
1536	Q38	Q	17	38	48	806	1201	2	297
1536	S38	S	19	38	48	902	1203	2	298
1536	U38	U	21	38	48	998	1205	2	299
1536	W38	W	23	38	48	1094	1207	2	300
1536	Y38	Y	25	38	48	1190	1209	2	301
1536	AA38	AA	27	38	48	1286	1211	2	302
1536	AC38	AC	29	38	48	1382	1213	2	303
1536	AE38	AE	31	38	48	1478	1215	2	304
1536	A40	A	1	40	48	40	1249	2	305
1536	C40	C	3	40	48	136	1251	2	306
1536	E40	E	5	40	48	232	1253	2	307
1536	G40	G	7	40	48	328	1255	2	308
1536	I40	I	9	40	48	424	1257	2	309
1536	K40	K	11	40	48	520	1259	2	310
1536	M40	M	13	40	48	616	1261	2	311
1536	O40	O	15	40	48	712	1263	2	312
1536	Q40	Q	17	40	48	808	1265	2	313
1536	S40	S	19	40	48	904	1267	2	314
1536	U40	U	21	40	48	1000	1269	2	315
1536	W40	W	23	40	48	1096	1271	2	316
1536	Y40	Y	25	40	48	1192	1273	2	317
1536	AA40	AA	27	40	48	1288	1275	2	318
1536	AC40	AC	29	40	48	1384	1277	2	319
1536	AE40	AE	31	40	48	1480	1279	2	320
1536	A42	A	1	42	48	42	1313	2	321
1536	C42	C	3	42	48	138	1315	2	322
1536	E42	E	5	42	48	234	1317	2	323
1536	G42	G	7	42	48	330	1319	2	324
1536	I42	I	9	42	48	426	1321	2	325
1536	K42	K	11	42	48	522	1323	2	326
1536	M42	M	13	42	48	618	1325	2	327
1536	O42	O	15	42	48	714	1327	2	328
1536	Q42	Q	17	42	48	810	1329	2	329
1536	S42	S	19	42	48	906	1331	2	330
1536	U42	U	21	42	48	1002	1333	2	331
1536	W42	W	23	42	48	1098	1335	2	332
1536	Y42	Y	25	42	48	1194	1337	2	333
1536	AA42	AA	27	42	48	1290	1339	2	334
1536	AC42	AC	29	42	48	1386	1341	2	335
1536	AE42	AE	31	42	48	1482	1343	2	336
1536	A44	A	1	44	48	44	1377	2	337
1536	C44	C	3	44	48	140	1379	2	338
1536	E44	E	5	44	48	236	1381	2	339
1536	G44	G	7	44	48	332	1383	2	340
1536	I44	I	9	44	48	428	1385	2	341
1536	K44	K	11	44	48	524	1387	2	342
1536	M44	M	13	44	48	620	1389	2	343
1536	O44	O	15	44	48	716	1391	2	344
1536	Q44	Q	17	44	48	812	1393	2	345
1536	S44	S	19	44	48	908	1395	2	346
1536	U44	U	21	44	48	1004	1397	2	347
1536	W44	W	23	44	48	1100	1399	2	348
1536	Y44	Y	25	44	48	1196	1401	2	349
1536	AA44	AA	27	44	48	1292	1403	2	350
1536	AC44	AC	29	44	48	1388	1405	2	351
1536	AE44	AE	31	44	48	1484	1407	2	352
1536	A46	A	1	46	48	46	1441	2	353
1536	C46	C	3	46	48	142	1443	2	354
1536	E46	E	5	46	48	238	1445	2	355
1536	G46	G	7	46	48	334	1447	2	356
1536	I46	I	9	46	48	430	1449	2	357
1536	K46	K	11	46	48	526	1451	2	358
1536	M46	M	13	46	48	622	1453	2	359
1536	O46	O	15	46	48	718	1455	2	360
1536	Q46	Q	17	46	48	814	1457	2	361
1536	S46	S	19	46	48	910	1459	2	362
1536	U46	U	21	46	48	1006	1461	2	363
1536	W46	W	23	46	48	1102	1463	2	364
1536	Y46	Y	25	46	48	1198	1465	2	365
1536	AA46	AA	27	46	48	1294	1467	2	366
1536	AC46	AC	29	46	48	1390	1469	2	367
1536	AE46	AE	31	46	48	1486	1471	2	368
1536	A48	A	1	48	48	48	1505	2	369
1536	C48	C	3	48	48	144	1507	2	370
1536	E48	E	5	48	48	240	1509	2	371
1536	G48	G	7	48	48	336	1511	2	372
1536	I48	I	9	48	48	432	1513	2	373
1536	K48	K	11	48	48	528	1515	2	374
1536	M48	M	13	48	48	624	1517	2	375
1536	O48	O	15	48	48	720	1519	2	376
1536	Q48	Q	17	48	48	816	1521	2	377
1536	S48	S	19	48	48	912	1523	2	378
1536	U48	U	21	48	48	1008	1525	2	379
1536	W48	W	23	48	48	1104	1527	2	380
